Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
196011,-2.8619,-0.0707,-0.7817,2.4121,2.0362,6.5733,7.9655,4.6586,4.3874,1.8221,7.3065,5.3524,6.0654,6.1952,4.0577,8.6644,4.5101,5.0016,4.6099,4.0072,5.2843,5.3177,2.9988,4.084,4.5695
196012,7.7828,3.3729,2.8163,2.782,1.2941,4.5457,2.6517,3.3303,3.7555,2.5096,2.64,4.4423,4.0242,3.2914,1.838,5.756,4.7861,5.4111,3.6918,2.6674,3.324,4.7102,8.9491,3.5903,3.3538
196101,10.4794,9.1341,8.4817,8.381,8.4765,10.3861,6.0631,6.9598,9.8722,9.4675,5.9586,6.6133,8.3355,9.8871,12.8825,6.8721,7.6783,7.6258,9.3299,13.0023,4.2217,6.7328,7.908,7.845,9.9218
196102,5.4697,7.9512,5.8667,6.3757,6.6543,8.4081,9.1511,5.4929,9.2685,7.7144,7.1247,6.3749,5.498,5.5592,5.0372,6.0672,6.1229,5.0915,4.4217,4.2406,3.7025,4.5399,0.8585,3.6896,2.3187
196103,12.3865,4.7333,7.442,5.3805,7.9193,10.8892,9.1074,4.493,5.6823,5.9548,6.6477,4.0872,3.8116,4.5389,5.6538,5.9891,2.7078,4.3532,6.3614,3.5626,1.8965,2.6367,4.1992,-0.5203,1.5516
196104,1.2502,3.2996,1.3857,2.2749,0.5458,2.2267,0.2963,0.7125,3.3524,4.773,-0.7155,1.0724,-2.176,0.8339,1.3468,-0.7172,1.0326,1.7029,-0.621,-5.7468,-0.6435,-0.1936,2.2535,0.703,4.9733
196105,-0.684,4.3709,2.2245,3.5318,5.5992,1.5088,0.6578,7.3993,2.8519,5.8016,3.6859,4.4308,3.5037,7.0844,3.0312,3.5296,3.6821,3.3203,4.4691,6.9306,3.2487,3.1029,0.0184,2.5329,1.4375
196106,-6.081,-5.5461,-4.4051,-5.7694,-6.0181,-7.1509,-2.8753,-4.1639,-4.9609,-5.3666,-5.2024,-5.2205,-2.7356,-5.4625,-4.351,-4.7033,-3.4831,-3.2003,-0.7817,-3.2816,-1.4309,-4.0408,-3.0892,-4.1123,-2.986
196107,1.6885,-0.0026,-2.2671,2.4241,-0.6812,-0.2419,-1.0205,0.6261,0.6746,2.1309,-0.258,1.3419,2.0722,1.1855,1.6303,0.6162,2.7793,2.63,1.098,-0.0848,1.8724,5.108,4.0278,1.0846,2.9104
196108,3.6509,1.0338,0.0657,-0.571,1.8273,3.2385,0.4524,1.1225,0.8151,1.742,-0.2709,1.6644,-0.2094,2.1716,0.3966,5.0141,4.2198,3.9908,0.6382,2.846,4.1855,2.0145,0.6763,1.6875,3.6876
196109,-5.5331,-6.04,-2.6219,-2.6382,-4.2255,-4.784,-5.3137,-3.1064,-3.7484,-1.4059,-3.7909,0.241,-2.8875,-2.7959,-4.777,-2.0233,-2.3401,-2.8873,-3.9366,-3.7209,-0.6459,-1.8967,-3.5792,-4.7702,-0.2719
196110,1.7408,6.683,3.5013,1.9767,1.1801,-1.5564,2.1692,3.6829,0.8691,1.0276,2.0944,3.6959,1.6715,2.5436,-1.0658,2.819,3.4142,5.009,-1.6386,2.5239,3.5238,1.2977,3.8583,5.7767,0.7679
196111,6.5681,5.1225,5.9083,6.322,4.7657,3.6937,7.6126,5.6148,5.9922,5.8618,8.3554,4.7058,4.131,4.7614,1.7203,4.6251,2.3713,5.4109,3.8571,3.6996,3.2945,6.8065,4.0467,3.2517,4.0618
196112,-3.6719,4.1192,-1.3986,1.3364,0.367,-4.3251,0.1849,-0.0777,1.7896,-1.2986,-1.5789,-2.4915,0.504,1.5639,1.3504,-3.7079,-1.7758,-0.0171,1.5152,-1.2473,-1.5328,1.1771,2.5714,2.7021,0.0277
196201,6.292,-3.5171,1.1189,1.7405,3.1845,-4.0578,-0.2542,-0.4873,0.7121,2.6951,-4.5916,-1.9449,-2.1488,-2.4578,1.7125,-5.3104,-2.1879,-2.576,1.7852,3.6316,-5.863,-3.9252,-1.2646,-0.3249,0.0528
196202,0.3189,-1.1848,2.108,1.756,1.913,1.1557,1.298,-0.228,2.3577,1.4712,3.2666,-0.2003,0.6702,1.8179,1.539,1.4246,1.3323,2.6027,0.7924,0.9689,1.6837,2.1512,2.9639,3.1443,1.7654
196203,-1.6943,1.6769,1.3384,1.0778,-0.0491,-0.0518,0.9928,-1.0324,-1.3593,-0.9511,0.2588,0.8238,-0.4259,-1.9728,-0.8761,-1.599,-0.8132,-0.6815,-0.3692,-2.4478,0.3226,-0.8446,-0.4109,-1.0702,-3.6415
196204,-8.3521,-7.9241,-7.1008,-7.7908,-6.7761,-7.8552,-7.043,-8.2512,-6.7082,-6.2049,-5.6746,-4.0186,-7.3157,-6.4069,-6.489,-6.7511,-6.4434,-6.986,-7.8316,-5.5769,-7.9851,-5.0324,-5.4073,-5.6525,-5.4893
196205,-10.9108,-11.0562,-10.6702,-7.7046,-11.1552,-12.3042,-11.0775,-9.1393,-9.5232,-10.887,-13.0718,-10.0867,-11.0996,-10.6433,-8.8437,-13.1138,-9.0047,-8.339,-5.0525,-7.2191,-10.3187,-7.2224,-5.1142,-5.6834,-5.9373
196206,-1.1322,-6.8336,-7.7851,-7.4479,-7.3521,-12.57,-9.0141,-6.7483,-5.8849,-7.4202,-8.4861,-7.3492,-9.1919,-6.0689,-7.0964,-10.5879,-8.8631,-6.5759,-8.6421,-7.5684,-10.4944,-7.2556,-6.3578,-5.4381,-6.926
196207,9.6254,9.4237,8.5545,5.5886,7.6305,6.8331,6.444,7.7869,5.1977,8.6771,9.9774,3.7632,4.3585,3.7464,6.9555,7.6286,5.9305,4.7796,4.8348,4.5055,8.6293,6.5702,4.7384,1.8273,3.294
196208,9.5639,2.5177,3.9597,0.9407,2.8399,7.6907,1.728,4.6482,2.7959,2.2471,2.9858,3.5577,3.4225,2.0694,1.2326,3.1918,3.2008,1.5991,3.5325,0.9927,2.7656,2.2658,1.1021,1.0824,3.6833
196209,-8.5874,-8.6871,-9.5771,-5.289,-6.4208,-8.2248,-5.3412,-7.8555,-6.406,-7.8641,-9.3778,-5.9328,-4.6556,-6.5203,-5.2872,-5.729,-4.3324,-4.4934,-6.7975,-5.1293,-5.2369,-4.5594,-4.0751,-4.2417,-4.6272
196210,-10.3725,-7.3863,-3.5527,-5.2197,-2.4743,-4.7859,-5.2715,-4.4516,-1.243,-1.0134,-4.547,-1.4531,-0.1502,-1.5609,-1.2947,-3.2324,-0.3344,-0.4372,-2.7869,1.2829,1.2758,0.881,0.5307,-0.1593,2.1041
196211,14.6563,16.7366,12.176,15.0025,13.8847,14.9677,15.9812,11.1014,14.5518,15.6212,16.0636,11.704,12.1853,14.0059,13.3072,14.5345,11.5689,11.9185,11.8657,16.8924,10.9911,9.1084,11.1427,11.9882,14.0759
196212,-3.3178,-4.8389,-0.4264,-2.3114,-2.2982,-2.9097,-0.7534,-1.3867,-1.9096,-3.8609,-3.1586,1.2894,-1.0158,-2.0604,-1.3272,0.1107,1.2129,1.3924,-1.1001,2.0917,1.3696,2.5641,2.335,-0.3903,0.9532
196301,13.0152,11.4413,9.6912,10.8591,11.1301,7.6264,5.8134,7.6104,8.2476,11.1121,6.3714,5.6481,4.8751,8.8909,9.3267,5.3772,4.8928,5.8904,9.5267,6.8478,5.2545,4.0939,3.4586,6.9685,5.6531
196302,-3.2469,-3.493,-0.8656,-0.8111,2.784,-4.019,-1.8893,-2.3979,-1.5349,-0.0876,-3.7618,-1.2599,-0.6367,-2.5286,0.8943,-3.3335,-1.3262,-0.8473,-1.6019,0.0026,-3.2384,-1.6639,-2.0482,-1.1946,-1.169
196303,4.9801,-1.4732,-0.586,1.4484,2.5845,-0.159,1.1803,1.2422,3.0095,1.3122,-0.0458,1.5539,1.1237,3.5742,1.7276,2.1667,1.7156,2.8014,4.0432,3.3495,3.7213,2.832,4.5744,5.1545,5.0549
196304,4.7964,1.4984,2.2766,3.4425,2.7932,2.3307,5.3164,0.5928,4.1701,5.9906,3.5646,3.9367,3.2273,3.2579,5.1081,4.3,3.3345,4.9312,6.9278,5.1382,4.8471,4.1444,5.9791,4.3067,8.4429
196305,3.3928,1.6754,2.7684,4.0797,7.9308,2.0925,2.7319,0.9173,4.8394,4.668,2.3531,2.109,2.5435,5.1611,6.0379,1.6071,1.5685,1.962,4.3263,3.6881,3.1848,-0.3312,1.8177,1.7024,5.7726
196306,3.7733,-1.1742,-1.4785,-2.5877,-1.0412,-0.0253,-1.7396,-2.0533,-1.7745,-1.8171,-1.3027,-0.7059,-1.9434,-2.896,-1.0549,-1.3658,-1.3843,-2.6632,-2.9751,1.0207,-3.2029,-0.9663,-0.7447,-1.3305,-0.359
196307,1.1234,-0.1481,0.5563,0.1097,-1.3212,-1.8721,0.2945,-0.8445,-1.9644,-1.1889,-2.3295,-1.3042,-0.7967,-2.2305,-1.7984,-0.8456,-1.7052,-2.0042,-1.6657,-1.8567,0.1401,0.4524,1.2557,-0.429,-1.1026
196308,4.2429,1.4831,1.3214,2.3701,4.6745,5.3983,4.6462,4.3639,4.4188,8.2329,5.2577,5.0255,5.4633,4.8264,5.1541,5.3965,4.7614,6.2068,7.5619,5.3469,5.771,4.223,4.7487,8.1419,6.3824
196309,-2.8922,0.7027,-1.0869,-1.5812,-0.3581,-3.9164,-1.5713,-0.6417,-1.1812,-2.9149,-4.4644,-1.5314,-0.4876,-0.3268,-1.8203,-2.6893,-2.0139,-1.8941,-3.5823,-1.9943,-1.3721,-0.772,-0.9852,-0.1905,-3.4963
196310,1.2861,-0.6491,1.2443,0.1,2.3724,1.1882,4.3011,2.3438,2.2012,3.9335,2.359,0.588,2.7346,2.0481,1.068,-0.4287,0.9057,2.3459,5.3382,0.6113,5.3261,1.7383,-0.2829,2.415,0.4857
196311,-3.3793,-4.0355,-1.5969,-1.0548,-1.0454,-4.1822,-1.7644,-0.7064,-0.1002,-0.1132,-3.0302,-1.524,-0.941,-0.7518,-1.2116,-0.8648,-0.8828,-0.4882,1.1451,3.5388,-1.2561,0.9849,-1.5542,-2.1322,1.3455
196312,-2.3593,-1.1798,-0.9018,-1.6367,-1.052,-0.6814,-0.9143,1.1527,0.8901,0.1212,0.3589,1.4736,1.2737,1.7197,0.4665,-0.1318,1.1983,1.7274,3.1393,6.1498,2.6237,2.2981,2.2921,2.5149,2.1308
196401,3.9767,3.0833,4.1068,4.1398,4.9545,-1.8043,-0.6418,3.6688,1.4763,4.2346,0.1105,1.0158,2.495,3.9771,3.2152,-0.2988,1.7765,1.1774,3.6204,3.3373,3.0934,3.1881,1.7441,2.0144,1.6235
196402,2.9555,2.873,2.2555,0.2821,4.5557,1.616,1.7313,2.5109,2.1229,6.1003,0.1019,2.8322,1.774,3.7564,4.0122,2.522,1.4409,3.0066,7.4544,4.6097,1.8224,0.5124,1.0418,3.983,3.751
196403,0.4966,1.3121,2.3753,3.5429,2.6887,2.322,3.244,3.472,5.6796,6.1528,-0.5576,2.5722,4.4163,5.7097,6.7543,1.9864,2.9255,5.2494,6.9476,0.7218,1.1585,0.7364,3.6898,3.8351,0.1494
196404,-1.5521,2.6366,-0.4091,-0.878,-0.9517,-0.7625,-4.0694,0.6079,-1.6136,-0.6557,-2.0882,-1.0485,0.2559,-0.749,-1.0221,-2.6728,0.6352,1.6896,-2.0612,-2.2799,0.2273,1.4744,0.8217,-0.9047,2.4177
196405,-1.252,-1.3431,0.4715,0.3367,1.5856,3.1248,0.3595,2.9579,1.8542,3.7386,-0.6274,1.5308,-0.2996,2.1331,2.4988,1.1101,2.416,1.3073,2.6065,4.101,2.0659,0.3111,1.2718,4.2802,3.3864
196406,1.9421,0.5264,1.2774,0.7808,1.0969,0.8807,1.6791,1.5988,1.1354,2.2101,1.0255,2.4139,2.068,2.4619,1.2404,0.9431,1.2939,1.1684,2.8764,3.1078,0.9729,2.8991,0.2828,1.3636,2.4156
196407,0.8464,3.883,4.2554,2.6285,4.8118,1.0572,1.6074,4.0006,3.1051,2.4158,2.8108,2.7962,3.0269,3.2799,1.2401,1.1094,3.3974,1.5688,1.7746,3.1177,2.5914,0.6598,3.9497,1.9029,0.8222
196408,1.2711,-1.907,-1.749,-0.896,-0.4938,-1.7902,-2.7708,-1.0857,0.3228,-1.8459,-2.7834,-0.5807,0.567,-0.1977,-2.0228,-1.0435,0.1881,1.0186,-0.0191,-0.2374,-1.2629,-1.5768,-0.0707,-1.0389,-2.7371
196409,4.6885,4.0315,6.0219,2.7272,3.9919,3.5364,2.8847,2.2849,1.9974,4.753,1.7612,2.0247,3.2296,3.2253,3.7708,2.9487,3.3454,4.2984,4.849,4.7579,3.0996,1.1876,4.439,4.4254,6.9184
196410,1.7043,0.374,2.1704,2.2325,3.3723,-1.4831,1.8614,2.0591,1.3112,1.3547,3.2059,3.3977,1.7484,1.3673,2.7154,1.1622,1.2132,1.2688,3.1881,3.4816,0.3437,1.0165,0.3508,0.4145,3.6739
196411,-0.1603,-0.4088,0.6954,0.7246,0.6234,-0.699,-0.0232,-0.0826,-0.5965,-1.8008,1.6113,0.6715,-0.0197,0.4266,0.164,0.5949,1.5067,-0.6105,-0.8331,-4.0612,1.0391,-0.2816,1.4876,-1.2429,-4.8657
196412,-1.5129,-1.3967,-2.546,-2.5918,-1.8116,1.4318,0.4568,0.5316,-2.2114,-1.0025,0.115,0.7396,-0.3939,-1.8123,-0.9072,1.0635,0.0535,-1.6199,-0.9551,-1.4361,0.8399,1.3076,-0.9272,-1.2009,-1.2581
196501,8.5641,5.8323,6.5993,7.245,8.8036,7.648,5.5808,5.7697,5.9866,6.1864,5.2046,6.3029,5.1145,6.0584,6.966,6.6065,4.1326,5.2312,5.1165,7.4877,4.71,1.2279,3.1004,3.622,3.5078
196502,1.5794,1.0678,2.7161,3.0096,3.4986,3.4382,4.4841,3.252,3.4893,3.8161,3.8964,4.7537,4.7885,2.894,3.4394,1.5041,3.5059,3.9892,3.1987,1.7863,0.1697,-0.1595,0.0796,-0.4272,-1.0988
196503,1.4044,2.717,1.4618,2.489,3.1547,2.0241,-1.4149,1.2362,1.3014,0.6605,-0.29,-0.24,-0.2978,1.4463,0.6379,-0.6703,-0.3546,-0.4817,0.4395,2.0934,-1.3119,-1.6834,-1.6367,-0.6142,0.2936
196504,3.3757,4.8607,5.2017,4.0676,4.6019,0.0003,4.8277,4.2246,4.7033,5.142,2.8021,3.0068,4.3179,3.5262,6.7989,2.5424,2.9329,4.6715,4.3912,2.6447,4.5926,1.8495,2.1106,2.1037,4.333
196505,-0.597,-2.3215,-1.1429,-0.4232,-1.2693,1.2679,-0.8293,-1.1878,-0.3296,-2.1589,-0.4077,0.5983,-1.482,-0.8103,-0.58,-1.055,-0.0272,-0.9491,-0.3614,-3.3105,-0.726,0.9427,-0.2344,-0.5163,-3.5541
196506,-12.4001,-10.7627,-9.4745,-8.0205,-9.5674,-10.3844,-8.3678,-8.9351,-8.3303,-8.2892,-6.9572,-9.3673,-8.4419,-8.7327,-8.3849,-6.1574,-6.9212,-8.1461,-8.6617,-8.9668,-4.4268,-3.5824,-4.9769,-3.633,-5.4288
196507,2.4449,3.7103,3.2169,2.29,4.3431,3.7099,1.3543,2.8801,3.7322,4.29,1.3893,4.5165,2.5087,4.5198,4.6479,2.6464,3.1032,4.1814,2.6199,5.7876,1.5245,-0.0437,1.8876,3.8748,5.0599
196508,2.9082,5.4828,5.3181,3.8041,3.9318,7.3129,3.9586,5.1523,4.4534,4.0995,8.1482,5.0451,7.6512,3.7178,5.9122,4.0819,4.0195,5.3362,3.0665,4.341,3.2621,1.3557,3.4901,1.1232,2.3953
196509,3.08,6.1964,1.4997,3.9392,3.1465,5.3879,3.7244,2.9823,4.8743,2.9238,2.5589,4.2967,2.4364,5.0407,4.6487,3.8354,3.7313,1.2301,2.9785,3.8306,3.9272,2.3223,2.476,3.5201,3.2515
196510,5.9712,9.2586,6.0287,5.6348,9.055,4.5444,6.1471,4.2759,5.3932,5.3798,4.5113,4.8264,5.6789,5.541,5.1048,4.3061,3.1809,2.9277,4.4173,7.8738,3.1384,0.2669,3.0514,4.4222,5.4816
196511,3.5853,6.738,2.4335,8.0918,6.6297,1.4377,5.5811,4.2575,5.4318,4.048,3.5356,3.3836,5.2857,2.8337,2.6488,3.5229,2.8138,3.3691,1.148,6.0764,-0.3037,-1.8517,1.255,-1.2821,-2.275
196512,6.4061,7.3525,2.344,3.8728,4.9632,3.6686,5.0612,3.9601,2.3878,7.3704,2.7818,1.328,4.0189,1.5988,5.6335,1.3034,1.3391,1.6231,4.3141,4.7832,1.0103,-0.2053,1.2605,2.7992,2.9558
196601,5.8757,6.1252,8.4953,9.5804,9.2611,4.8531,5.5152,5.2212,5.3198,6.4047,4.1093,2.8438,2.9188,4.5832,6.0148,0.6698,2.0493,4.9538,4.2498,5.7043,-0.3719,-0.6373,1.7297,3.0563,3.4997
196602,6.4919,6.1003,1.7637,4.6412,6.1313,4.8901,5.386,1.9583,-0.2085,3.5297,-0.1237,1.8587,4.3132,2.4861,2.9023,2.2571,-1.573,0.6434,0.6801,3.5463,-1.3268,-2.2691,-1.6922,-1.9663,-2.0557
196603,0.4302,-0.4055,-2.2779,-0.8356,-1.1006,0.1883,-1.7233,-2.4526,-3.6285,-1.557,-1.7207,-4.7081,-2.3592,-3.3801,-3.7122,0.0488,-1.3941,-3.2976,-2.5368,-4.2177,-1.474,-3.4162,-1.0924,-2.1509,-4.5021
196604,10.5139,4.6831,5.8429,6.9314,3.8781,2.7326,5.1946,3.6853,7.7015,8.7953,3.8115,4.0488,3.127,4.3838,2.4018,4.0802,2.4861,3.4612,4.8273,0.3389,2.1117,1.8738,1.2218,2.4061,1.9991
196605,-12.3013,-13.3738,-10.3573,-10.7611,-11.7866,-9.7592,-10.0972,-8.7631,-10.0317,-9.1777,-6.2935,-7.0317,-7.6381,-10.5574,-9.4822,-5.0816,-5.1564,-6.7096,-8.8227,-10.7558,-4.1889,-3.8667,-4.7328,-5.5063,-5.4507
196606,-0.6824,-0.2759,1.071,1.5448,0.3766,1.3324,0.4358,-0.0637,-0.6477,0.2485,0.3944,-0.5198,2.6905,-0.3626,-0.683,-0.8593,-0.3602,0.0017,3.4268,-0.0842,-1.9986,-1.4809,-0.689,0.8559,-0.6948
196607,-2.1739,-1.751,-2.3778,0.0135,-1.0599,-3.1657,-2.3341,-0.729,-1.6938,-1.6869,-1.0345,-2.0679,-0.6466,-0.7935,-1.4238,-0.8236,-1.3688,-2.0464,-2.697,-2.3773,-1.6864,-1.4936,-0.6138,0.9135,-1.326
196608,-11.9646,-10.5214,-9.9631,-11.0473,-10.4161,-12.7672,-10.143,-9.3653,-9.6835,-10.9118,-10.6818,-8.6482,-7.9789,-9.942,-8.6292,-9.3873,-7.6617,-7.9129,-6.9637,-9.4044,-7.1873,-8.7472,-5.7046,-6.1912,-7.9624
196609,-2.0164,-1.8402,-1.8161,-1.9233,-1.2181,-1.8183,0.9079,-2.2521,-1.819,-2.0855,-2.1949,-4.3174,0.4292,-0.1997,-1.2755,-1.0739,0.1546,-1.2518,-3.2299,-0.3762,-1.3094,1.0071,0.4795,0.2753,-1.6179
196610,-8.0065,-4.7175,-4.4987,-1.1373,-1.416,-5.364,-0.824,-0.8158,0.3173,-0.21,-1.8702,1.4897,3.2466,4.9836,1.6575,0.3109,4.953,3.8079,3.7496,1.9296,2.9392,5.625,9.2021,6.2743,6.5077
196611,8.4391,3.5803,4.7042,2.4402,3.589,7.7597,3.0753,7.4347,1.9298,2.6885,9.3354,6.4773,1.1391,4.5771,0.637,8.618,1.2966,1.4545,2.0443,0.7892,3.6719,1.9047,-2.5331,-1.4293,-1.0731
196612,4.1887,2.6142,2.5021,0.8137,0.2328,4.7503,3.4576,0.9245,2.243,0.6964,3.1883,3.7043,0.4487,3.1068,-0.4132,2.9634,2.3162,1.6444,3.6156,1.953,-0.871,0.0758,1.4591,-0.1425,-0.1227
196701,20.5686,20.1184,19.5247,20.6142,17.4187,16.9665,16.444,17.6109,17.3934,20.4686,16.9832,14.4911,12.1993,13.1637,14.3448,9.778,6.68,10.7449,11.2193,13.5276,7.7322,7.0965,4.8745,7.8591,13.7899
196702,7.3009,5.3938,5.2832,4.4799,5.9275,3.2454,2.8425,1.2934,3.2515,1.6492,1.9406,2.0415,1.9312,0.7805,0.887,2.9131,-0.4038,-0.2011,1.0839,0.2107,2.3014,0.667,-0.7874,-0.8658,-1.33
196703,7.1692,6.1509,4.9988,7.51,5.2425,6.8662,6.1629,7.1679,6.5706,6.2631,5.6319,5.3637,4.6457,8.3173,4.075,5.7894,4.2717,5.9142,4.3024,5.977,4.2598,3.0891,3.1531,4.6729,5.3175
196704,6.7813,4.2416,3.4974,4.0327,3.5775,3.2009,4.0422,5.0639,3.9044,3.3418,5.5552,4.4402,2.9887,5.3865,2.8081,6.6606,2.9818,4.09,3.5137,2.8157,6.8866,2.8402,0.1138,3.5468,1.7638
196705,0.2259,0.7148,-0.8453,-0.9907,-0.6344,-1.2816,0.6486,0.4954,-2.6295,-3.57,-3.0619,-1.8975,-1.8854,-0.2384,-1.9758,-2.2254,-0.545,-2.1452,-1.0689,-0.6484,-5.6526,-4.2053,-4.0482,-3.703,-3.6596
196706,15.7613,9.3533,12.5508,12.1768,10.1779,10.2446,6.8181,6.9293,9.4103,5.9872,5.3568,8.1879,4.1933,5.1106,3.4548,3.1082,2.3217,3.6678,6.7072,6.1274,1.4221,0.3958,1.6194,2.8988,3.0943
196707,9.3213,9.6497,10.0437,7.6255,11.8277,6.1726,6.6112,9.3847,9.4111,8.4125,5.3805,4.9914,5.8998,7.2319,11.5789,4.791,4.6581,5.0812,7.2256,9.0224,4.4462,5.6367,2.1142,5.8685,6.4583
196708,-0.7086,0.5643,0.4005,0.1612,2.0907,-1.183,-1.4183,0.6346,0.5057,1.106,-3.0349,0.7716,1.3193,1.2959,-0.2848,-0.9087,-0.97,-0.6906,1.1208,3.797,-0.5742,-1.0246,-1.5269,0.4557,1.338
196709,11.7646,10.2082,8.2414,7.6413,4.8732,5.1037,6.1175,7.1483,5.5241,3.1091,5.661,1.7213,2.8866,4.6168,2.5388,3.7335,1.5415,2.2649,3.6498,0.4076,3.8,3.1463,3.2577,1.6223,0.2472
196710,1.8018,-4.1665,-1.6472,-1.4905,-2.6636,-0.7706,-2.35,0.8625,-3.061,-5.0654,-3.5044,-1.0823,-3.6131,-3.0467,-2.4311,-4.4791,-5.4962,-5.2467,-2.6744,-5.2857,-0.2537,-4.0214,-2.6988,-6.1454,-6.5113
196711,-1.0996,3.8612,-1.2548,-1.3378,-1.1192,1.0889,0.6125,2.9155,-0.0186,0.1165,2.6918,0.8272,0.7324,-0.3624,-0.7424,3.4448,0.3703,-0.1674,-0.0031,-0.6812,1.32,0.2806,0.1767,-0.5451,0.0559
196712,13.1287,10.4477,8.5964,9.5442,10.1156,12.4045,6.4006,9.0703,7.3106,9.125,7.7035,5.6646,5.4538,5.1231,7.4425,1.3426,2.7476,4.6684,4.6825,3.709,1.9513,3.0452,2.2363,5.5944,2.7927
196801,3.1407,2.3206,3.2516,3.3436,5.9703,-4.5761,-1.9196,-0.4451,1.1395,2.6246,-6.8746,-0.703,-0.7495,-0.6193,2.7128,-7.9332,0.1611,-2.8567,0.1027,-0.425,-6.2775,-5.8491,0.5939,-2.2794,-3.855
196802,-10.1,-7.1171,-5.3246,-6.9681,-5.6171,-6.9186,-6.3106,-8.8008,-3.5935,-5.6686,-6.9043,-3.9291,-2.9957,-2.3938,-4.5834,-5.4143,-3.4605,-2.7903,-5.2426,-3.8256,-3.0151,-2.2141,-2.0767,-3.2545,-1.8996
196803,-1.5197,0.0232,-0.3408,-2.0353,-0.0808,-0.386,-1.9529,-0.0514,-1.2807,-0.6398,1.9985,-0.4008,-2.4207,0.8087,-0.2267,0.4924,-0.1914,-1.2109,0.2816,-0.2883,3.0891,-1.3752,-0.3272,-1.7868,2.0264
196804,21.5666,17.4982,16.2498,16.4295,15.7733,18.9887,12.9114,17.9531,11.9895,12.7965,16.1637,12.1024,8.3798,10.2172,18.0481,12.6664,7.3196,8.309,13.0055,11.6528,10.7421,7.3968,3.3058,9.4085,10.5079
