DATE,BAAFFM
1973-12-01,-1.47
1974-01-01,-1.17
1974-02-01,-0.44
1974-03-01,-0.73
1974-04-01,-1.64
1974-05-01,-2.26
1974-06-01,-2.66
1974-07-01,-3.44
1974-08-01,-2.24
1974-09-01,-1.16
1974-10-01,0.42
1974-11-01,1.15
1974-12-01,2.10
1975-01-01,3.68
1975-02-01,4.41
1975-03-01,4.94
1975-04-01,5.09
1975-05-01,5.47
1975-06-01,5.07
1975-07-01,4.45
1975-08-01,4.45
1975-09-01,4.37
1975-10-01,4.80
1975-11-01,5.34
1975-12-01,5.36
1976-01-01,5.54
1976-02-01,5.47
1976-03-01,5.28
1976-04-01,5.12
1976-05-01,4.57
1976-06-01,4.41
1976-07-01,4.51
1976-08-01,4.35
1976-09-01,4.15
1976-10-01,4.27
1976-11-01,4.28
1976-12-01,4.47
1977-01-01,4.47
1977-02-01,4.44
1977-03-01,4.43
1977-04-01,4.34
1977-05-01,3.66
1977-06-01,3.52
1977-07-01,3.45
1977-08-01,2.92
1977-09-01,2.66
1977-10-01,2.42
1977-11-01,2.44
1977-12-01,2.43
1978-01-01,2.47
1978-02-01,2.42
1978-03-01,2.43
1978-04-01,2.43
1978-05-01,2.13
1978-06-01,2.00
1978-07-01,1.79
1978-08-01,1.44
1978-09-01,0.97
1978-10-01,0.63
1978-11-01,0.07
1978-12-01,-0.09
1979-01-01,0.06
1979-02-01,0.02
1979-03-01,0.17
1979-04-01,0.32
1979-05-01,0.23
1979-06-01,0.09
1979-07-01,-0.18
1979-08-01,-0.59
1979-09-01,-0.89
1979-10-01,-2.37
1979-11-01,-1.19
1979-12-01,-1.72
1980-01-01,-1.40
1980-02-01,-0.56
1980-03-01,-2.74
1980-04-01,-3.42
1980-05-01,2.19
1980-06-01,3.24
1980-07-01,3.62
1980-08-01,3.54
1980-09-01,2.83
1980-10-01,1.42
1980-11-01,-1.21
1980-12-01,-3.76
1981-01-01,-4.05
1981-02-01,-0.56
1981-03-01,0.64
1981-04-01,-0.16
1981-05-01,-2.57
1981-06-01,-3.30
1981-07-01,-2.87
1981-08-01,-1.48
1981-09-01,1.05
1981-10-01,2.03
1981-11-01,3.08
1981-12-01,4.18
1982-01-01,3.88
1982-02-01,2.40
1982-03-01,2.14
1982-04-01,1.84
1982-05-01,2.19
1982-06-01,2.77
1982-07-01,4.21
1982-08-01,6.20
1982-09-01,5.32
1982-10-01,5.02
1982-11-01,5.10
1982-12-01,5.19
1983-01-01,5.26
1983-02-01,5.44
1983-03-01,4.84
1983-04-01,4.49
1983-05-01,4.46
1983-06-01,4.39
1983-07-01,4.02
1983-08-01,4.08
1983-09-01,4.10
1983-10-01,3.98
1983-11-01,4.27
1983-12-01,4.28
1984-01-01,4.09
1984-02-01,4.00
1984-03-01,4.08
1984-04-01,4.02
1984-05-01,4.42
1984-06-01,3.99
1984-07-01,3.92
1984-08-01,2.99
1984-09-01,3.05
1984-10-01,3.95
1984-11-01,4.05
1984-12-01,5.02
1985-01-01,4.91
1985-02-01,4.73
1985-03-01,5.11
1985-04-01,5.24
1985-05-01,5.18
1985-06-01,4.87
1985-07-01,4.55
1985-08-01,4.60
1985-09-01,4.56
1985-10-01,4.37
1985-11-01,3.94
1985-12-01,3.31
1986-01-01,3.30
1986-02-01,3.25
1986-03-01,3.02
1986-04-01,3.20
1986-05-01,3.44
1986-06-01,3.42
1986-07-01,3.60
1986-08-01,4.01
1986-09-01,4.31
1986-10-01,4.39
1986-11-01,4.03
1986-12-01,3.06
1987-01-01,3.29
1987-02-01,3.55
1987-03-01,3.48
1987-04-01,3.67
1987-05-01,3.66
1987-06-01,3.79
1987-07-01,4.03
1987-08-01,4.07
1987-09-01,4.09
1987-10-01,4.33
1987-11-01,4.54
1987-12-01,4.52
1988-01-01,4.24
1988-02-01,4.04
1988-03-01,3.99
1988-04-01,4.03
1988-05-01,3.95
1988-06-01,3.49
1988-07-01,3.36
1988-08-01,3.20
1988-09-01,2.71
1988-10-01,2.11
1988-11-01,2.13
1988-12-01,1.89
1989-01-01,1.53
1989-02-01,1.25
1989-03-01,0.82
1989-04-01,0.77
1989-05-01,0.65
1989-06-01,0.50
1989-07-01,0.63
1989-08-01,0.89
1989-09-01,0.89
1989-10-01,0.97
1989-11-01,1.26
1989-12-01,1.37
1990-01-01,1.71
1990-02-01,1.90
1990-03-01,1.93
1990-04-01,2.04
1990-05-01,2.23
1990-06-01,1.93
1990-07-01,2.05
1990-08-01,2.28
1990-09-01,2.44
1990-10-01,2.63
1990-11-01,2.81
1990-12-01,3.12
1991-01-01,3.54
1991-02-01,3.82
1991-03-01,3.97
1991-04-01,4.03
1991-05-01,4.08
1991-06-01,4.06
1991-07-01,4.07
1991-08-01,3.99
1991-09-01,4.06
1991-10-01,4.28
1991-11-01,4.64
1991-12-01,4.83
1992-01-01,5.10
1992-02-01,5.17
1992-03-01,5.27
1992-04-01,5.48
1992-05-01,5.31
1992-06-01,5.29
1992-07-01,5.59
1992-08-01,5.35
1992-09-01,5.40
1992-10-01,5.74
1992-11-01,5.87
1992-12-01,5.89
1993-01-01,5.65
1993-02-01,5.36
1993-03-01,5.08
1993-04-01,5.18
1993-05-01,5.21
1993-06-01,5.03
1993-07-01,4.87
1993-08-01,4.57
1993-09-01,4.25
1993-10-01,4.32
1993-11-01,4.64
1993-12-01,4.73
1994-01-01,4.60
1994-02-01,4.51
1994-03-01,4.79
1994-04-01,4.96
1994-05-01,4.61
1994-06-01,4.40
1994-07-01,4.54
1994-08-01,4.27
1994-09-01,4.25
1994-10-01,4.44
1994-11-01,4.03
1994-12-01,3.65
1995-01-01,3.55
1995-02-01,2.93
1995-03-01,2.72
1995-04-01,2.55
1995-05-01,2.19
1995-06-01,1.90
1995-07-01,2.19
1995-08-01,2.45
1995-09-01,2.13
1995-10-01,1.99
1995-11-01,1.88
1995-12-01,1.89
1996-01-01,1.91
1996-02-01,2.41
1996-03-01,2.72
1996-04-01,2.97
1996-05-01,3.06
1996-06-01,3.13
1996-07-01,2.95
1996-08-01,2.96
1996-09-01,3.05
1996-10-01,2.83
1996-11-01,2.48
1996-12-01,2.60
1997-01-01,2.84
1997-02-01,2.75
1997-03-01,2.79
1997-04-01,2.83
1997-05-01,2.70
1997-06-01,2.46
1997-07-01,2.23
1997-08-01,2.28
1997-09-01,2.16
1997-10-01,2.07
1997-11-01,1.90
1997-12-01,1.82
1998-01-01,1.63
1998-02-01,1.74
1998-03-01,1.83
1998-04-01,1.88
1998-05-01,1.81
1998-06-01,1.57
1998-07-01,1.61
1998-08-01,1.59
1998-09-01,1.58
1998-10-01,2.11
1998-11-01,2.51
1998-12-01,2.55
1999-01-01,2.66
1999-02-01,2.63
1999-03-01,2.72
1999-04-01,2.74
1999-05-01,2.98
1999-06-01,3.26
1999-07-01,2.96
1999-08-01,3.08
1999-09-01,2.98
1999-10-01,3.18
1999-11-01,2.73
1999-12-01,2.89
2000-01-01,2.88
2000-02-01,2.56
2000-03-01,2.52
2000-04-01,2.38
2000-05-01,2.63
2000-06-01,1.95
2000-07-01,1.81
2000-08-01,1.76
2000-09-01,1.83
2000-10-01,1.83
2000-11-01,1.77
2000-12-01,1.62
2001-01-01,1.95
2001-02-01,2.38
2001-03-01,2.53
2001-04-01,3.27
2001-05-01,3.86
2001-06-01,4.00
2001-07-01,4.20
2001-08-01,4.20
2001-09-01,4.96
2001-10-01,5.42
2001-11-01,5.72
2001-12-01,6.23
2002-01-01,6.14
2002-02-01,6.15
2002-03-01,6.38
2002-04-01,6.28
2002-05-01,6.34
2002-06-01,6.20
2002-07-01,6.17
2002-08-01,5.84
2002-09-01,5.65
2002-10-01,5.98
2002-11-01,6.28
2002-12-01,6.21
2003-01-01,6.11
2003-02-01,5.80
2003-03-01,5.70
2003-04-01,5.59
2003-05-01,5.12
2003-06-01,4.97
2003-07-01,5.61
2003-08-01,5.98
2003-09-01,5.78
2003-10-01,5.72
2003-11-01,5.66
2003-12-01,5.62
2004-01-01,5.44
2004-02-01,5.26
2004-03-01,5.11
2004-04-01,5.46
2004-05-01,5.75
2004-06-01,5.75
2004-07-01,5.36
2004-08-01,5.03
2004-09-01,4.66
2004-10-01,4.45
2004-11-01,4.27
2004-12-01,3.99
2005-01-01,3.74
2005-02-01,3.32
2005-03-01,3.43
2005-04-01,3.26
2005-05-01,3.01
2005-06-01,2.82
2005-07-01,2.69
2005-08-01,2.46
2005-09-01,2.41
2005-10-01,2.52
2005-11-01,2.39
2005-12-01,2.16
2006-01-01,1.95
2006-02-01,1.78
2006-03-01,1.82
2006-04-01,1.89
2006-05-01,1.81
2006-06-01,1.79
2006-07-01,1.52
2006-08-01,1.34
2006-09-01,1.18
2006-10-01,1.17
2006-11-01,0.95
2006-12-01,0.98
2007-01-01,1.09
2007-02-01,1.02
2007-03-01,1.01
2007-04-01,1.14
2007-05-01,1.14
2007-06-01,1.45
2007-07-01,1.39
2007-08-01,1.63
2007-09-01,1.65
2007-10-01,1.72
2007-11-01,1.91
2007-12-01,2.41
2008-01-01,2.60
2008-02-01,3.84
2008-03-01,4.28
2008-04-01,4.69
2008-05-01,4.95
2008-06-01,5.07
2008-07-01,5.15
2008-08-01,5.15
2008-09-01,5.50
2008-10-01,7.91
2008-11-01,8.82
2008-12-01,8.27
2009-01-01,7.99
2009-02-01,7.86
2009-03-01,8.24
2009-04-01,8.24
2009-05-01,7.88
2009-06-01,7.29
2009-07-01,6.93
2009-08-01,6.42
2009-09-01,6.16
2009-10-01,6.17
2009-11-01,6.20
2009-12-01,6.25
2010-01-01,6.14
2010-02-01,6.21
2010-03-01,6.11
2010-04-01,6.05
2010-05-01,5.85
2010-06-01,6.05
2010-07-01,5.83
2010-08-01,5.47
2010-09-01,5.47
2010-10-01,5.53
2010-11-01,5.73
2010-12-01,5.92
2011-01-01,5.92
2011-02-01,5.99
2011-03-01,5.89
2011-04-01,5.92
2011-05-01,5.69
2011-06-01,5.66
2011-07-01,5.69
2011-08-01,5.26
2011-09-01,5.19
2011-10-01,5.30
2011-11-01,5.06
2011-12-01,5.18
2012-01-01,5.15
2012-02-01,5.04
2012-03-01,5.10
2012-04-01,5.05
2012-05-01,4.91
2012-06-01,4.86
2012-07-01,4.71
2012-08-01,4.78
2012-09-01,4.70
2012-10-01,4.42
2012-11-01,4.35
2012-12-01,4.47
2013-01-01,4.59
2013-02-01,4.70
2013-03-01,4.71
2013-04-01,4.44
2013-05-01,4.62
2013-06-01,5.10
2013-07-01,5.23
2013-08-01,5.34
2013-09-01,5.39
2013-10-01,5.22
2013-11-01,5.30
2013-12-01,5.29
2014-01-01,5.12
2014-02-01,5.03
2014-03-01,4.98
2014-04-01,4.81
2014-05-01,4.67
2014-06-01,4.70
2014-07-01,4.64
2014-08-01,4.60
2014-09-01,4.71
2014-10-01,4.60
2014-11-01,4.70
2014-12-01,4.62
2015-01-01,4.34
2015-02-01,4.40
2015-03-01,4.43
2015-04-01,4.36
2015-05-01,4.77
2015-06-01,5.00
2015-07-01,5.07
2015-08-01,5.05
2015-09-01,5.20
2015-10-01,5.22
2015-11-01,5.34
2015-12-01,5.22
2016-01-01,5.11
2016-02-01,4.96
2016-03-01,4.77
2016-04-01,4.42
2016-05-01,4.31
2016-06-01,4.15
2016-07-01,3.83
2016-08-01,3.84
2016-09-01,3.91
2016-10-01,3.98
2016-11-01,4.30
2016-12-01,4.29
2017-01-01,4.01
2017-02-01,3.98
2017-03-01,3.89
2017-04-01,3.67
2017-05-01,3.64
2017-06-01,3.33
2017-07-01,3.24
2017-08-01,3.15
2017-09-01,3.15
2017-10-01,3.17
2017-11-01,3.11
2017-12-01,2.92
2018-01-01,2.85
2018-02-01,3.09
2018-03-01,3.13
2018-04-01,2.98
2018-05-01,3.13
2018-06-01,3.01
2018-07-01,2.88
2018-08-01,2.86
2018-09-01,2.93
2018-10-01,2.88
2018-11-01,3.02
2018-12-01,2.86
2019-01-01,2.72
2019-02-01,2.55
2019-03-01,2.44
2019-04-01,2.28
2019-05-01,2.24
2019-06-01,2.08
2019-07-01,1.88
2019-08-01,1.75
2019-09-01,1.86
2019-10-01,2.09
2019-11-01,2.39
2019-12-01,2.33
